ciclo_id,matriz_id,especie,data_inicio,data_fim,status,parto_data,tentativas
C-CA-M-00000-00,CA-M-00000,caprino,2023-03-23,2023-03-23,concluido_sucesso,2023-08-20,1
C-CA-M-00000-01,CA-M-00000,caprino,2023-12-04,2023-12-04,concluido_sucesso,2024-05-02,1
C-CA-M-00000-02,CA-M-00000,caprino,2024-08-03,2024-08-03,concluido_sucesso,2024-12-31,1
C-CA-M-00000-03,CA-M-00000,caprino,2025-04-18,2025-04-18,concluido_sucesso,2025-09-15,1
C-CA-M-00001-00,CA-M-00001,caprino,2023-01-25,2023-01-25,concluido_sucesso,2023-06-24,1
C-CA-M-00001-01,CA-M-00001,caprino,2023-10-21,2023-10-21,concluido_sucesso,2024-03-19,1
C-CA-M-00001-02,CA-M-00001,caprino,2024-07-02,2024-07-02,concluido_sucesso,2024-11-29,1
C-CA-M-00002-00,CA-M-00002,caprino,2023-06-08,2023-06-08,concluido_sucesso,2023-11-05,1
C-CA-M-00002-01,CA-M-00002,caprino,2024-02-17,2024-03-10,concluido_sucesso,2024-08-07,2
C-CA-M-00002-02,CA-M-00002,caprino,2024-11-09,2024-12-03,concluido_sucesso,2025-05-02,2
C-CA-M-00002-03,CA-M-00002,caprino,2025-07-03,2025-07-03,concluido_sucesso,2025-11-30,1
C-CA-M-00002-04,CA-M-00002,caprino,2026-02-23,2026-02-23,concluido_sucesso,2026-07-23,1
C-CA-M-00003-00,CA-M-00003,caprino,2023-02-03,2023-02-03,concluido_sucesso,2023-07-03,1
C-CA-M-00003-01,CA-M-00003,caprino,2023-10-15,2023-11-23,concluido_falha,,3
C-CA-M-00003-02,CA-M-00003,caprino,2024-01-25,2024-03-05,concluido_falha,,3
C-CA-M-00004-00,CA-M-00004,caprino,2023-08-19,2023-09-07,concluido_sucesso,2024-02-04,2
C-CA-M-00004-01,CA-M-00004,caprino,2024-05-04,2024-05-04,concluido_sucesso,2024-10-01,1
C-CA-M-00004-02,CA-M-00004,caprino,2025-01-04,2025-01-04,concluido_sucesso,2025-06-03,1
C-CA-M-00004-03,CA-M-00004,caprino,2025-09-11,2025-09-11,concluido_sucesso,2026-02-08,1
C-CA-M-00004-04,CA-M-00004,caprino,2026-04-12,2026-04-30,concluido_falha,,2
C-CA-M-00005-00,CA-M-00005,caprino,2023-07-24,2023-07-24,concluido_sucesso,2023-12-21,1
C-CA-M-00005-01,CA-M-00005,caprino,2024-04-15,2024-04-15,concluido_sucesso,2024-09-12,1
C-CA-M-00005-02,CA-M-00005,caprino,2024-11-21,2025-01-02,concluido_sucesso,2025-06-01,3
C-CA-M-00005-03,CA-M-00005,caprino,2025-09-24,2025-09-24,concluido_sucesso,2026-02-21,1
C-CA-M-00006-00,CA-M-00006,caprino,2023-08-05,2023-08-05,concluido_sucesso,2024-01-02,1
C-CA-M-00006-01,CA-M-00006,caprino,2024-03-06,2024-03-28,concluido_sucesso,2024-08-25,2
C-CA-M-00006-02,CA-M-00006,caprino,2024-12-16,2024-12-16,concluido_sucesso,2025-05-15,1
C-CA-M-00006-03,CA-M-00006,caprino,2025-08-09,2025-08-28,concluido_sucesso,2026-01-25,2
C-CA-M-00006-04,CA-M-00006,caprino,2026-04-14,2026-04-14,concluido_falha,,1
C-CA-M-00007-00,CA-M-00007,caprino,2023-07-26,2023-07-26,concluido_sucesso,2023-12-23,1
C-CA-M-00007-01,CA-M-00007,caprino,2024-03-04,2024-03-24,concluido_sucesso,2024-08-21,2
C-CA-M-00007-02,CA-M-00007,caprino,2024-10-25,2024-10-25,concluido_sucesso,2025-03-24,1
C-CA-M-00007-03,CA-M-00007,caprino,2025-06-20,2025-06-20,concluido_sucesso,2025-11-17,1
C-CA-M-00007-04,CA-M-00007,caprino,2026-03-08,2026-03-08,concluido_sucesso,2026-08-05,1
C-CA-M-00008-00,CA-M-00008,caprino,2023-06-18,2023-06-18,concluido_sucesso,2023-11-15,1
C-CA-M-00008-01,CA-M-00008,caprino,2024-02-22,2024-02-22,concluido_sucesso,2024-07-21,1
C-CA-M-00008-02,CA-M-00008,caprino,2024-09-30,2024-09-30,concluido_sucesso,2025-02-27,1
C-CA-M-00008-03,CA-M-00008,caprino,2025-05-11,2025-05-11,concluido_sucesso,2025-10-08,1
C-CA-M-00009-00,CA-M-00009,caprino,2023-06-01,2023-06-22,concluido_sucesso,2023-11-19,2
C-CA-M-00009-01,CA-M-00009,caprino,2024-02-17,2024-02-17,concluido_sucesso,2024-07-16,1
C-CA-M-00009-02,CA-M-00009,caprino,2024-11-10,2024-11-10,concluido_sucesso,2025-04-09,1
C-CA-M-00009-03,CA-M-00009,caprino,2025-06-28,2025-06-28,concluido_sucesso,2025-11-25,1
C-CA-M-00010-00,CA-M-00010,caprino,2023-05-24,2023-05-24,concluido_sucesso,2023-10-21,1
C-CA-M-00010-01,CA-M-00010,caprino,2023-12-27,2023-12-27,concluido_sucesso,2024-05-25,1
C-CA-M-00010-02,CA-M-00010,caprino,2024-09-02,2024-09-02,concluido_sucesso,2025-01-30,1
C-CA-M-00010-03,CA-M-00010,caprino,2025-04-21,2025-04-21,concluido_sucesso,2025-09-18,1
C-CA-M-00010-04,CA-M-00010,caprino,2025-12-16,2026-01-08,concluido_sucesso,2026-06-07,2
C-CA-M-00011-00,CA-M-00011,caprino,2023-03-26,2023-04-17,concluido_sucesso,2023-09-14,2
C-CA-M-00011-01,CA-M-00011,caprino,2023-11-24,2023-11-24,concluido_sucesso,2024-04-22,1
C-CA-M-00011-02,CA-M-00011,caprino,2024-07-15,2024-08-06,concluido_sucesso,2025-01-03,2
C-CA-M-00011-03,CA-M-00011,caprino,2025-03-17,2025-04-24,concluido_falha,,3
C-CA-M-00012-00,CA-M-00012,caprino,2023-02-14,2023-02-14,concluido_sucesso,2023-07-14,1
C-CA-M-00012-01,CA-M-00012,caprino,2023-10-05,2023-10-25,concluido_sucesso,2024-03-23,2
C-CA-M-00012-02,CA-M-00012,caprino,2024-06-03,2024-06-03,concluido_sucesso,2024-10-31,1
C-CA-M-00012-03,CA-M-00012,caprino,2025-02-16,2025-02-16,concluido_sucesso,2025-07-16,1
C-CA-M-00013-00,CA-M-00013,caprino,2023-03-22,2023-03-22,concluido_sucesso,2023-08-19,1
C-CA-M-00013-01,CA-M-00013,caprino,2023-11-24,2023-11-24,concluido_sucesso,2024-04-22,1
C-CA-M-00013-02,CA-M-00013,caprino,2024-08-02,2024-08-02,concluido_sucesso,2024-12-30,1
C-CA-M-00013-03,CA-M-00013,caprino,2025-03-10,2025-03-10,concluido_sucesso,2025-08-07,1
C-CA-M-00013-04,CA-M-00013,caprino,2025-11-28,2025-11-28,concluido_sucesso,2026-04-27,1
C-CA-M-00014-00,CA-M-00014,caprino,2023-06-10,2023-06-10,concluido_sucesso,2023-11-07,1
C-CA-M-00014-01,CA-M-00014,caprino,2024-01-16,2024-01-16,concluido_sucesso,2024-06-14,1
C-CA-M-00014-02,CA-M-00014,caprino,2024-08-31,2024-08-31,concluido_sucesso,2025-01-28,1
C-CA-M-00015-00,CA-M-00015,caprino,2023-06-24,2023-06-24,concluido_sucesso,2023-11-21,1
C-CA-M-00015-01,CA-M-00015,caprino,2024-02-04,2024-03-13,concluido_falha,,3
C-CA-M-00015-02,CA-M-00015,caprino,2024-05-10,2024-05-30,concluido_sucesso,2024-10-27,2
C-CA-M-00015-03,CA-M-00015,caprino,2025-02-19,2025-02-19,concluido_sucesso,2025-07-19,1
C-CA-M-00015-04,CA-M-00015,caprino,2025-11-06,2025-11-06,concluido_sucesso,2026-04-05,1
C-CA-M-00016-00,CA-M-00016,caprino,2023-05-19,2023-05-19,concluido_sucesso,2023-10-16,1
