ciclo_id,matriz_id,especie,data_inicio,data_fim,status,parto_data,tentativas
C-BO-M-00000-00,BO-M-00000,bovino,2023-02-20,2023-03-21,concluido_sucesso,2023-12-29,2
C-BO-M-00000-01,BO-M-00000,bovino,2024-04-17,2024-06-13,concluido_falha,,3
C-BO-M-00000-02,BO-M-00000,bovino,2024-07-17,2024-07-17,concluido_sucesso,2025-04-26,1
C-BO-M-00000-03,BO-M-00000,bovino,2025-08-13,2025-08-13,concluido_sucesso,2026-05-23,1
C-BO-M-00001-00,BO-M-00001,bovino,2023-07-24,2023-09-22,concluido_sucesso,2024-07-01,3
C-BO-M-00001-01,BO-M-00001,bovino,2024-09-28,2024-11-14,concluido_sucesso,2025-08-24,3
C-BO-M-00001-02,BO-M-00001,bovino,2025-12-18,2025-12-18,concluido_sucesso,2026-09-27,1
C-BO-M-00002-00,BO-M-00002,bovino,2023-04-27,2023-05-27,concluido_sucesso,2024-03-05,2
C-BO-M-00002-01,BO-M-00002,bovino,2024-06-02,2024-07-31,concluido_falha,,3
C-BO-M-00002-02,BO-M-00002,bovino,2024-09-11,2024-10-29,concluido_falha,,3
C-BO-M-00002-03,BO-M-00002,bovino,2025-01-02,2025-02-23,concluido_falha,,3
C-BO-M-00002-04,BO-M-00002,bovino,2025-04-16,2025-06-14,concluido_falha,,3
C-BO-M-00002-05,BO-M-00002,bovino,2025-07-16,2025-09-06,concluido_falha,,3
C-BO-M-00003-00,BO-M-00003,bovino,2023-04-22,2023-04-22,concluido_sucesso,2024-01-30,1
C-BO-M-00003-01,BO-M-00003,bovino,2024-05-10,2024-05-10,concluido_sucesso,2025-02-17,1
C-BO-M-00003-02,BO-M-00003,bovino,2025-05-28,2025-06-24,concluido_sucesso,2026-04-03,2
C-BO-M-00004-00,BO-M-00004,bovino,2023-10-13,2023-10-13,concluido_sucesso,2024-07-22,1
C-BO-M-00004-01,BO-M-00004,bovino,2024-09-26,2024-09-26,concluido_sucesso,2025-07-06,1
C-BO-M-00004-02,BO-M-00004,bovino,2025-10-31,2025-10-31,concluido_sucesso,2026-08-10,1
C-BO-M-00005-00,BO-M-00005,bovino,2023-03-18,2023-04-17,concluido_sucesso,2024-01-25,2
C-BO-M-00005-01,BO-M-00005,bovino,2024-04-09,2024-05-08,concluido_sucesso,2025-02-15,2
C-BO-M-00005-02,BO-M-00005,bovino,2025-05-28,2025-05-28,concluido_sucesso,2026-03-07,1
C-BO-M-00006-00,BO-M-00006,bovino,2023-01-24,2023-01-24,concluido_sucesso,2023-11-03,1
C-BO-M-00006-01,BO-M-00006,bovino,2024-01-03,2024-01-03,concluido_sucesso,2024-10-12,1
C-BO-M-00006-02,BO-M-00006,bovino,2025-01-09,2025-01-09,concluido_sucesso,2025-10-19,1
C-BO-M-00006-03,BO-M-00006,bovino,2026-01-10,2026-01-10,concluido_sucesso,2026-10-20,1
C-BO-M-00007-00,BO-M-00007,bovino,2023-10-21,2023-10-21,concluido_sucesso,2024-07-30,1
C-BO-M-00007-01,BO-M-00007,bovino,2024-10-29,2024-10-29,concluido_sucesso,2025-08-08,1
C-BO-M-00007-02,BO-M-00007,bovino,2025-10-13,2025-10-13,concluido_sucesso,2026-07-23,1
C-BO-M-00008-00,BO-M-00008,bovino,2023-08-26,2023-08-26,concluido_sucesso,2024-06-04,1
C-BO-M-00008-01,BO-M-00008,bovino,2024-08-11,2024-09-07,concluido_sucesso,2025-06-17,2
C-BO-M-00008-02,BO-M-00008,bovino,2025-09-18,2025-11-10,concluido_falha,,3
C-BO-M-00008-03,BO-M-00008,bovino,2026-01-11,2026-01-11,concluido_sucesso,2026-10-21,1
C-BO-M-00009-00,BO-M-00009,bovino,2023-09-17,2023-10-31,concluido_falha,,3
C-BO-M-00009-01,BO-M-00009,bovino,2023-12-01,2023-12-01,concluido_sucesso,2024-09-09,1
C-BO-M-00009-02,BO-M-00009,bovino,2024-11-11,2024-11-11,concluido_sucesso,2025-08-21,1
C-BO-M-00010-00,BO-M-00010,bovino,2023-09-11,2023-10-03,concluido_sucesso,2024-07-12,2
C-BO-M-00010-01,BO-M-00010,bovino,2024-09-14,2024-11-04,concluido_falha,,3
C-BO-M-00010-02,BO-M-00010,bovino,2025-01-12,2025-01-12,concluido_sucesso,2025-10-22,1
C-BO-M-00010-03,BO-M-00010,bovino,2026-01-03,2026-01-31,concluido_sucesso,2026-11-10,2
C-BO-M-00011-00,BO-M-00011,bovino,2023-06-23,2023-06-23,concluido_sucesso,2024-04-01,1
C-BO-M-00011-01,BO-M-00011,bovino,2024-07-08,2024-08-30,concluido_sucesso,2025-06-09,3
C-BO-M-00011-02,BO-M-00011,bovino,2025-09-12,2025-09-12,concluido_sucesso,2026-06-22,1
C-BO-M-00012-00,BO-M-00012,bovino,2023-07-19,2023-08-18,concluido_sucesso,2024-05-27,2
C-BO-M-00012-01,BO-M-00012,bovino,2024-07-26,2024-08-17,concluido_sucesso,2025-05-27,2
C-BO-M-00012-02,BO-M-00012,bovino,2025-09-22,2025-09-22,concluido_sucesso,2026-07-02,1
C-BO-M-00013-00,BO-M-00013,bovino,2023-08-09,2023-08-09,concluido_sucesso,2024-05-18,1
C-BO-M-00013-01,BO-M-00013,bovino,2024-07-19,2024-08-13,concluido_sucesso,2025-05-23,2
C-BO-M-00013-02,BO-M-00013,bovino,2025-09-09,2025-10-09,concluido_sucesso,2026-07-19,2
C-BO-M-00014-00,BO-M-00014,bovino,2023-01-30,2023-01-30,concluido_sucesso,2023-11-09,1
C-BO-M-00014-01,BO-M-00014,bovino,2024-02-07,2024-02-07,concluido_sucesso,2024-11-16,1
C-BO-M-00014-02,BO-M-00014,bovino,2025-01-28,2025-02-24,concluido_sucesso,2025-12-04,2
C-BO-M-00014-03,BO-M-00014,bovino,2026-02-26,2026-02-26,concluido_sucesso,2026-12-06,1
C-BO-M-00015-00,BO-M-00015,bovino,2023-01-08,2023-01-08,concluido_sucesso,2023-10-18,1
C-BO-M-00015-01,BO-M-00015,bovino,2024-01-11,2024-03-01,concluido_sucesso,2024-12-09,3
C-BO-M-00015-02,BO-M-00015,bovino,2025-04-04,2025-04-04,concluido_sucesso,2026-01-12,1
C-BO-M-00016-00,BO-M-00016,bovino,2023-04-16,2023-04-16,concluido_sucesso,2024-01-24,1
C-BO-M-00016-01,BO-M-00016,bovino,2024-03-27,2024-03-27,concluido_sucesso,2025-01-04,1
C-BO-M-00016-02,BO-M-00016,bovino,2025-05-02,2025-05-02,concluido_sucesso,2026-02-09,1
C-BO-M-00016-03,BO-M-00016,bovino,2026-04-18,2026-04-18,concluido_falha,,1
C-BO-M-00017-00,BO-M-00017,bovino,2023-10-25,2023-10-25,concluido_sucesso,2024-08-03,1
C-BO-M-00017-01,BO-M-00017,bovino,2024-10-24,2024-10-24,concluido_sucesso,2025-08-03,1
C-BO-M-00017-02,BO-M-00017,bovino,2025-10-17,2025-12-02,concluido_sucesso,2026-09-11,3
C-BO-M-00018-00,BO-M-00018,bovino,2023-10-22,2023-10-22,concluido_sucesso,2024-07-31,1
C-BO-M-00018-01,BO-M-00018,bovino,2024-10-18,2024-10-18,concluido_sucesso,2025-07-28,1
C-BO-M-00018-02,BO-M-00018,bovino,2025-11-15,2025-11-15,concluido_sucesso,2026-08-25,1
C-BO-M-00019-00,BO-M-00019,bovino,2023-05-16,2023-05-16,concluido_sucesso,2024-02-23,1
C-BO-M-00019-01,BO-M-00019,bovino,2024-05-02,2024-05-02,concluido_sucesso,2025-02-09,1
C-BO-M-00019-02,BO-M-00019,bovino,2025-05-19,2025-05-19,concluido_sucesso,2026-02-26,1
C-BO-M-00020-00,BO-M-00020,bovino,2023-03-02,2023-03-02,concluido_sucesso,2023-12-10,1
C-BO-M-00020-01,BO-M-00020,bovino,2024-03-11,2024-04-26,concluido_falha,,3
C-BO-M-00020-02,BO-M-00020,bovino,2024-06-08,2024-06-08,concluido_sucesso,2025-03-18,1
C-BO-M-00020-03,BO-M-00020,bovino,2025-07-14,2025-08-09,concluido_sucesso,2026-05-19,2
C-BO-M-00021-00,BO-M-00021,bovino,2023-10-23,2023-10-23,concluido_sucesso,2024-08-01,1
C-BO-M-00021-01,BO-M-00021,bovino,2024-10-05,2024-10-05,concluido_sucesso,2025-07-15,1
C-BO-M-00021-02,BO-M-00021,bovino,2025-10-29,2025-10-29,concluido_sucesso,2026-08-08,1
C-BO-M-00022-00,BO-M-00022,bovino,2023-05-28,2023-05-28,concluido_sucesso,2024-03-06,1
C-BO-M-00022-01,BO-M-00022,bovino,2024-05-29,2024-07-23,concluido_falha,,3
C-BO-M-00022-02,BO-M-00022,bovino,2024-09-11,2024-09-11,concluido_sucesso,2025-06-21,1
C-BO-M-00022-03,BO-M-00022,bovino,2025-10-13,2025-10-13,concluido_sucesso,2026-07-23,1
C-BO-M-00023-00,BO-M-00023,bovino,2023-03-01,2023-03-01,concluido_sucesso,2023-12-09,1
C-BO-M-00023-01,BO-M-00023,bovino,2024-03-04,2024-03-04,concluido_sucesso,2024-12-12,1
C-BO-M-00023-02,BO-M-00023,bovino,2025-03-12,2025-04-07,concluido_sucesso,2026-01-15,2
C-BO-M-00024-00,BO-M-00024,bovino,2023-01-30,2023-02-25,concluido_sucesso,2023-12-05,2
C-BO-M-00024-01,BO-M-00024,bovino,2024-02-13,2024-04-04,concluido_falha,,3
C-BO-M-00024-02,BO-M-00024,bovino,2024-06-09,2024-06-09,concluido_sucesso,2025-03-19,1
C-BO-M-00024-03,BO-M-00024,bovino,2025-05-24,2025-07-16,concluido_sucesso,2026-04-25,3
C-BO-M-00025-00,BO-M-00025,bovino,2023-07-07,2023-09-02,concluido_falha,,3
C-BO-M-00025-01,BO-M-00025,bovino,2023-10-24,2023-12-27,concluido_falha,,3
C-BO-M-00025-02,BO-M-00025,bovino,2024-02-25,2024-03-27,concluido_sucesso,2025-01-04,2
C-BO-M-00025-03,BO-M-00025,bovino,2025-03-09,2025-03-09,concluido_sucesso,2025-12-17,1
C-BO-M-00025-04,BO-M-00025,bovino,2026-04-07,2026-04-07,concluido_sucesso,2027-01-15,1
C-BO-M-00026-00,BO-M-00026,bovino,2023-07-30,2023-09-18,concluido_falha,,3
C-BO-M-00026-01,BO-M-00026,bovino,2023-11-16,2023-12-12,concluido_sucesso,2024-09-20,2
C-BO-M-00026-02,BO-M-00026,bovino,2024-12-22,2025-01-23,concluido_sucesso,2025-11-02,2
C-BO-M-00026-03,BO-M-00026,bovino,2026-02-22,2026-04-17,concluido_falha,,3
C-BO-M-00027-00,BO-M-00027,bovino,2023-06-22,2023-06-22,concluido_sucesso,2024-03-31,1
C-BO-M-00027-01,BO-M-00027,bovino,2024-07-25,2024-07-25,concluido_sucesso,2025-05-04,1
C-BO-M-00027-02,BO-M-00027,bovino,2025-07-26,2025-07-26,concluido_sucesso,2026-05-05,1
C-BO-M-00028-00,BO-M-00028,bovino,2023-10-23,2023-10-23,concluido_sucesso,2024-08-01,1
C-BO-M-00028-01,BO-M-00028,bovino,2024-10-17,2024-11-10,concluido_sucesso,2025-08-20,2
C-BO-M-00028-02,BO-M-00028,bovino,2025-11-27,2025-12-21,concluido_sucesso,2026-09-30,2
