ciclo_id,matriz_id,especie,data_inicio,data_fim,status,parto_data,tentativas
C-OV-M-00000-00,OV-M-00000,ovino,2023-08-16,2023-08-16,concluido_sucesso,2024-01-13,1
C-OV-M-00000-01,OV-M-00000,ovino,2024-03-17,2024-03-17,concluido_sucesso,2024-08-14,1
C-OV-M-00000-02,OV-M-00000,ovino,2024-11-09,2024-11-09,concluido_sucesso,2025-04-08,1
C-OV-M-00000-03,OV-M-00000,ovino,2025-07-27,2025-08-16,concluido_sucesso,2026-01-13,2
C-OV-M-00000-04,OV-M-00000,ovino,2026-04-11,2026-04-11,concluido_sucesso,2026-09-08,1
C-OV-M-00001-00,OV-M-00001,ovino,2023-10-25,2023-10-25,concluido_sucesso,2024-03-23,1
C-OV-M-00001-01,OV-M-00001,ovino,2024-05-23,2024-05-23,concluido_sucesso,2024-10-20,1
C-OV-M-00001-02,OV-M-00001,ovino,2024-12-29,2025-02-08,concluido_sucesso,2025-07-08,3
C-OV-M-00001-03,OV-M-00001,ovino,2025-10-17,2025-10-17,concluido_sucesso,2026-03-16,1
C-OV-M-00002-00,OV-M-00002,ovino,2023-07-05,2023-08-10,concluido_falha,,3
C-OV-M-00002-01,OV-M-00002,ovino,2023-09-09,2023-09-09,concluido_sucesso,2024-02-06,1
C-OV-M-00002-02,OV-M-00002,ovino,2024-04-28,2024-05-16,concluido_sucesso,2024-10-13,2
C-OV-M-00003-00,OV-M-00003,ovino,2023-10-19,2023-11-05,concluido_sucesso,2024-04-03,2
C-OV-M-00003-01,OV-M-00003,ovino,2024-06-14,2024-07-22,concluido_falha,,3
C-OV-M-00003-02,OV-M-00003,ovino,2024-09-01,2024-09-01,concluido_sucesso,2025-01-29,1
C-OV-M-00003-03,OV-M-00003,ovino,2025-04-09,2025-04-09,concluido_sucesso,2025-09-06,1
C-OV-M-00004-00,OV-M-00004,ovino,2023-03-09,2023-03-09,concluido_sucesso,2023-08-06,1
C-OV-M-00004-01,OV-M-00004,ovino,2023-12-02,2023-12-02,concluido_sucesso,2024-04-30,1
C-OV-M-00004-02,OV-M-00004,ovino,2024-07-15,2024-07-15,concluido_sucesso,2024-12-12,1
C-OV-M-00004-03,OV-M-00004,ovino,2025-03-31,2025-03-31,concluido_sucesso,2025-08-28,1
C-OV-M-00004-04,OV-M-00004,ovino,2025-11-02,2025-11-02,concluido_sucesso,2026-04-01,1
C-OV-M-00005-00,OV-M-00005,ovino,2023-02-14,2023-02-14,concluido_sucesso,2023-07-14,1
C-OV-M-00005-01,OV-M-00005,ovino,2023-10-22,2023-10-22,concluido_sucesso,2024-03-20,1
C-OV-M-00005-02,OV-M-00005,ovino,2024-06-29,2024-08-03,concluido_sucesso,2024-12-31,3
C-OV-M-00005-03,OV-M-00005,ovino,2025-03-20,2025-03-20,concluido_sucesso,2025-08-17,1
C-OV-M-00006-00,OV-M-00006,ovino,2023-01-09,2023-01-09,concluido_sucesso,2023-06-08,1
C-OV-M-00006-01,OV-M-00006,ovino,2023-09-30,2023-09-30,concluido_sucesso,2024-02-27,1
C-OV-M-00006-02,OV-M-00006,ovino,2024-05-06,2024-05-06,concluido_sucesso,2024-10-03,1
C-OV-M-00006-03,OV-M-00006,ovino,2025-01-29,2025-03-04,concluido_sucesso,2025-08-01,3
C-OV-M-00007-00,OV-M-00007,ovino,2023-06-20,2023-06-20,concluido_sucesso,2023-11-17,1
C-OV-M-00007-01,OV-M-00007,ovino,2024-02-05,2024-02-22,concluido_sucesso,2024-07-21,2
C-OV-M-00007-02,OV-M-00007,ovino,2024-10-24,2024-10-24,concluido_sucesso,2025-03-23,1
C-OV-M-00008-00,OV-M-00008,ovino,2023-08-31,2023-08-31,concluido_sucesso,2024-01-28,1
C-OV-M-00008-01,OV-M-00008,ovino,2024-04-17,2024-05-07,concluido_sucesso,2024-10-04,2
C-OV-M-00008-02,OV-M-00008,ovino,2025-01-07,2025-01-24,concluido_sucesso,2025-06-23,2
C-OV-M-00009-00,OV-M-00009,ovino,2023-01-15,2023-01-15,concluido_sucesso,2023-06-14,1
C-OV-M-00009-01,OV-M-00009,ovino,2023-09-07,2023-10-12,concluido_falha,,3
C-OV-M-00009-02,OV-M-00009,ovino,2023-12-12,2023-12-12,concluido_sucesso,2024-05-10,1
C-OV-M-00009-03,OV-M-00009,ovino,2024-09-02,2024-09-02,concluido_sucesso,2025-01-30,1
C-OV-M-00009-04,OV-M-00009,ovino,2025-04-18,2025-04-18,concluido_sucesso,2025-09-15,1
C-OV-M-00010-00,OV-M-00010,ovino,2023-08-06,2023-09-13,concluido_sucesso,2024-02-10,3
C-OV-M-00010-01,OV-M-00010,ovino,2024-04-26,2024-04-26,concluido_sucesso,2024-09-23,1
