evento_id,ciclo_id,matriz_id,reprodutor_id,especie,raca_matriz,raca_reprodutor,idade_matriz,paridade,ecc,historico_matriz,taxa_reprodutor,tecnica,mes,estacao_favoravel,data_evento,tentativa_no_ciclo,dias_desde_parto,ciclos_anteriores_falha,prob_verdadeira,resultado
E-BO-000000,C-BO-M-00000-00,BO-M-00000,BO-R-0029,bovino,Brahman,Nelore,7.6,5,1.9,0.35,0.78,IATF,2,1,2023-02-20,1,-1,0,0.606,vazia
E-BO-000001,C-BO-M-00000-00,BO-M-00000,BO-R-0034,bovino,Brahman,Nelore,7.6,5,1.9,0.35,0.63,IATF,3,1,2023-03-21,2,-1,0,0.327,prenhe
E-BO-000002,C-BO-M-00000-01,BO-M-00000,BO-R-0002,bovino,Brahman,Brahman,7.6,5,1.9,0.35,0.3,convencional,4,0,2024-04-17,1,110,0,0.4,vazia
E-BO-000003,C-BO-M-00000-01,BO-M-00000,BO-R-0036,bovino,Brahman,Guzera,7.6,5,1.9,0.35,0.72,convencional,5,0,2024-05-17,2,140,0,0.469,vazia
E-BO-000004,C-BO-M-00000-01,BO-M-00000,BO-R-0030,bovino,Brahman,Nelore,7.6,5,1.9,0.35,0.8,IATF,6,0,2024-06-13,3,167,0,0.196,vazia
E-BO-000005,C-BO-M-00000-02,BO-M-00000,BO-R-0020,bovino,Brahman,Nelore,7.6,5,1.9,0.35,0.55,IATF,7,0,2024-07-17,1,201,1,0.345,prenhe
E-BO-000006,C-BO-M-00000-03,BO-M-00000,BO-R-0029,bovino,Brahman,Nelore,7.6,5,1.9,0.35,0.78,IATF,8,0,2025-08-13,1,109,0,0.454,prenhe
E-BO-000007,C-BO-M-00001-00,BO-M-00001,BO-R-0035,bovino,Nelore,Brahman,9.0,0,2.5,0.58,0.74,convencional,7,0,2023-07-24,1,-1,0,0.485,vazia
E-BO-000008,C-BO-M-00001-00,BO-M-00001,BO-R-0012,bovino,Nelore,Senepol,9.0,0,2.5,0.58,0.33,convencional,8,0,2023-08-25,2,-1,0,0.221,vazia
E-BO-000009,C-BO-M-00001-00,BO-M-00001,BO-R-0035,bovino,Nelore,Brahman,9.0,0,2.5,0.58,0.74,IATF,9,0,2023-09-22,3,-1,0,0.176,prenhe
E-BO-000010,C-BO-M-00001-01,BO-M-00001,BO-R-0038,bovino,Nelore,Senepol,9.0,0,2.5,0.58,0.52,IATF,9,0,2024-09-28,1,89,0,0.256,vazia
E-BO-000011,C-BO-M-00001-01,BO-M-00001,BO-R-0015,bovino,Nelore,Angus,9.0,0,2.5,0.58,0.51,convencional,10,1,2024-10-21,2,112,0,0.419,vazia
E-BO-000012,C-BO-M-00001-01,BO-M-00001,BO-R-0035,bovino,Nelore,Brahman,9.0,0,2.5,0.58,0.74,IATF,11,1,2024-11-14,3,136,0,0.368,prenhe
E-BO-000013,C-BO-M-00001-02,BO-M-00001,BO-R-0038,bovino,Nelore,Senepol,9.0,0,2.5,0.58,0.52,IA_repasse,12,1,2025-12-18,1,116,0,0.393,prenhe
E-BO-000014,C-BO-M-00002-00,BO-M-00002,BO-R-0013,bovino,Gir,Nelore,9.3,2,2.3,0.43,0.46,convencional,4,0,2023-04-27,1,-1,0,0.364,vazia
