evento_id,ciclo_id,matriz_id,reprodutor_id,especie,raca_matriz,raca_reprodutor,idade_matriz,paridade,ecc,historico_matriz,taxa_reprodutor,tecnica,mes,estacao_favoravel,data_evento,tentativa_no_ciclo,dias_desde_parto,ciclos_anteriores_falha,prob_verdadeira,resultado
E-CA-000000,C-CA-M-00000-00,CA-M-00000,CA-R-0029,caprino,Anglo Nubiana,Saanen,5.0,0,3.2,0.46,0.58,IA_cervical,3,1,2023-03-23,1,-1,0,0.693,prenhe
E-CA-000001,C-CA-M-00000-01,CA-M-00000,CA-R-0039,caprino,Anglo Nubiana,Caninde,5.0,0,3.2,0.46,0.8,IA_cervical,12,0,2023-12-04,1,106,0,0.827,prenhe
E-CA-000002,C-CA-M-00000-02,CA-M-00000,CA-R-0014,caprino,Anglo Nubiana,Saanen,5.0,0,3.2,0.46,0.74,IA_laparoscopica,8,0,2024-08-03,1,93,0,0.95,prenhe
E-CA-000003,C-CA-M-00000-03,CA-M-00000,CA-R-0009,caprino,Anglo Nubiana,Boer,5.0,0,3.2,0.46,0.88,IA_laparoscopica,4,1,2025-04-18,1,108,0,0.95,prenhe
E-CA-000004,C-CA-M-00001-00,CA-M-00001,CA-R-0024,caprino,Anglo Nubiana,Alpina,5.1,4,2.6,0.49,0.62,IA_laparoscopica,1,0,2023-01-25,1,-1,0,0.724,prenhe
E-CA-000005,C-CA-M-00001-01,CA-M-00001,CA-R-0035,caprino,Anglo Nubiana,Boer,5.1,4,2.6,0.49,0.42,IA_cervical,10,0,2023-10-21,1,119,0,0.641,prenhe
E-CA-000006,C-CA-M-00001-02,CA-M-00001,CA-R-0016,caprino,Anglo Nubiana,Anglo Nubiana,5.1,4,2.6,0.49,0.62,IATF,7,0,2024-07-02,1,105,0,0.783,prenhe
E-CA-000007,C-CA-M-00002-00,CA-M-00002,CA-R-0039,caprino,Boer,Caninde,9.5,5,2.6,0.7,0.8,IA_cervical,6,1,2023-06-08,1,-1,0,0.525,prenhe
E-CA-000008,C-CA-M-00002-01,CA-M-00002,CA-R-0035,caprino,Boer,Boer,9.5,5,2.6,0.7,0.42,IA_cervical,2,0,2024-02-17,1,104,0,0.476,vazia
E-CA-000009,C-CA-M-00002-01,CA-M-00002,CA-R-0011,caprino,Boer,Anglo Nubiana,9.5,5,2.6,0.7,0.39,IA_cervical,3,1,2024-03-10,2,126,0,0.407,prenhe
E-CA-000010,C-CA-M-00002-02,CA-M-00002,CA-R-0034,caprino,Boer,Caninde,9.5,5,2.6,0.7,0.32,IA_cervical,11,0,2024-11-09,1,94,0,0.403,vazia
E-CA-000011,C-CA-M-00002-02,CA-M-00002,CA-R-0035,caprino,Boer,Boer,9.5,5,2.6,0.7,0.42,IA_cervical,12,0,2024-12-03,2,118,0,0.311,prenhe
