evento_id,ciclo_id,matriz_id,reprodutor_id,especie,raca_matriz,raca_reprodutor,idade_matriz,paridade,ecc,historico_matriz,taxa_reprodutor,tecnica,mes,estacao_favoravel,data_evento,tentativa_no_ciclo,dias_desde_parto,ciclos_anteriores_falha,prob_verdadeira,resultado
E-OV-000000,C-OV-M-00000-00,OV-M-00000,OV-R-0035,ovino,Somalis,Somalis,5.5,5,3.0,0.4,0.77,IA_cervical,8,0,2023-08-16,1,-1,0,0.618,prenhe
E-OV-000001,C-OV-M-00000-01,OV-M-00000,OV-R-0006,ovino,Somalis,Mestico,5.5,5,3.0,0.4,0.52,IA_cervical,3,1,2024-03-17,1,64,0,0.443,prenhe
E-OV-000002,C-OV-M-00000-02,OV-M-00000,OV-R-0035,ovino,Somalis,Somalis,5.5,5,3.0,0.4,0.77,IA_cervical,11,0,2024-11-09,1,87,0,0.526,prenhe
E-OV-000003,C-OV-M-00000-03,OV-M-00000,OV-R-0006,ovino,Somalis,Mestico,5.5,5,3.0,0.4,0.52,IA_cervical,7,0,2025-07-27,1,110,0,0.473,vazia
E-OV-000004,C-OV-M-00000-03,OV-M-00000,OV-R-0008,ovino,Somalis,Morada Nova,5.5,5,3.0,0.4,0.55,IA_cervical,8,0,2025-08-16,2,130,0,0.424,prenhe
E-OV-000005,C-OV-M-00000-04,OV-M-00000,OV-R-0028,ovino,Somalis,Santa Ines,5.5,5,3.0,0.4,0.47,IA_cervical,4,1,2026-04-11,1,88,0,0.519,prenhe
E-OV-000006,C-OV-M-00001-00,OV-M-00001,OV-R-0039,ovino,Santa Ines,Somalis,7.7,2,3.2,0.63,0.44,IATF,10,0,2023-10-25,1,-1,0,0.509,prenhe
E-OV-000007,C-OV-M-00001-01,OV-M-00001,OV-R-0033,ovino,Santa Ines,Santa Ines,7.7,2,3.2,0.63,0.56,IATF,5,1,2024-05-23,1,61,0,0.654,prenhe
E-OV-000008,C-OV-M-00001-02,OV-M-00001,OV-R-0026,ovino,Santa Ines,Santa Ines,7.7,2,3.2,0.63,0.68,IA_cervical,12,0,2024-12-29,1,70,0,0.525,vazia
E-OV-000009,C-OV-M-00001-02,OV-M-00001,OV-R-0029,ovino,Santa Ines,Santa Ines,7.7,2,3.2,0.63,0.48,IA_cervical,1,0,2025-01-20,2,92,0,0.61,vazia
E-OV-000010,C-OV-M-00001-02,OV-M-00001,OV-R-0027,ovino,Santa Ines,Dorper,7.7,2,3.2,0.63,0.84,IA_laparoscopica,2,1,2025-02-08,3,111,0,0.856,prenhe
E-OV-000011,C-OV-M-00001-03,OV-M-00001,OV-R-0000,ovino,Santa Ines,Santa Ines,7.7,2,3.2,0.63,0.7,IA_cervical,10,0,2025-10-17,1,101,0,0.698,prenhe
E-OV-000012,C-OV-M-00002-00,OV-M-00002,OV-R-0012,ovino,Mestico,Morada Nova,7.7,2,3.3,0.41,0.59,IA_cervical,7,0,2023-07-05,1,-1,0,0.496,vazia
E-OV-000013,C-OV-M-00002-00,OV-M-00002,OV-R-0038,ovino,Mestico,Somalis,7.7,2,3.3,0.41,0.56,IA_cervical,7,0,2023-07-21,2,-1,0,0.45,vazia
E-OV-000014,C-OV-M-00002-00,OV-M-00002,OV-R-0006,ovino,Mestico,Mestico,7.7,2,3.3,0.41,0.52,IA_cervical,8,0,2023-08-10,3,-1,0,0.374,vazia
E-OV-000015,C-OV-M-00002-01,OV-M-00002,OV-R-0031,ovino,Mestico,Santa Ines,7.7,2,3.3,0.41,0.7,IA_cervical,9,0,2023-09-09,1,-1,1,0.551,prenhe
E-OV-000016,C-OV-M-00002-02,OV-M-00002,OV-R-0002,ovino,Mestico,Mestico,7.7,2,3.3,0.41,0.43,IATF,4,1,2024-04-28,1,82,0,0.589,vazia
E-OV-000017,C-OV-M-00002-02,OV-M-00002,OV-R-0017,ovino,Mestico,Mestico,7.7,2,3.3,0.41,0.6,IA_cervical,5,1,2024-05-16,2,100,0,0.546,prenhe
E-OV-000018,C-OV-M-00003-00,OV-M-00003,OV-R-0028,ovino,Santa Ines,Santa Ines,6.5,2,3.9,0.44,0.47,IA_cervical,10,0,2023-10-19,1,-1,0,0.402,vazia
E-OV-000019,C-OV-M-00003-00,OV-M-00003,OV-R-0026,ovino,Santa Ines,Santa Ines,6.5,2,3.9,0.44,0.68,IA_cervical,11,0,2023-11-05,2,-1,0,0.279,prenhe
E-OV-000020,C-OV-M-00003-01,OV-M-00003,OV-R-0023,ovino,Santa Ines,Santa Ines,6.5,2,3.9,0.44,0.74,IA_cervical,6,0,2024-06-14,1,72,0,0.472,vazia
E-OV-000021,C-OV-M-00003-01,OV-M-00003,OV-R-0008,ovino,Santa Ines,Morada Nova,6.5,2,3.9,0.44,0.55,IA_cervical,7,0,2024-07-04,2,92,0,0.371,vazia
E-OV-000022,C-OV-M-00003-01,OV-M-00003,OV-R-0030,ovino,Santa Ines,Santa Ines,6.5,2,3.9,0.44,0.63,IA_cervical,7,0,2024-07-22,3,110,0,0.21,vazia
E-OV-000023,C-OV-M-00003-02,OV-M-00003,OV-R-0016,ovino,Santa Ines,Morada Nova,6.5,2,3.9,0.44,0.83,IA_cervical,9,0,2024-09-01,1,151,1,0.458,prenhe
E-OV-000024,C-OV-M-00003-03,OV-M-00003,OV-R-0010,ovino,Santa Ines,Santa Ines,6.5,2,3.9,0.44,0.88,IA_cervical,4,1,2025-04-09,1,70,0,0.501,prenhe
E-OV-000025,C-OV-M-00004-00,OV-M-00004,OV-R-0020,ovino,Dorper,Santa Ines,3.4,0,3.9,0.53,0.6,IATF,3,1,2023-03-09,1,-1,0,0.6,prenhe
E-OV-000026,C-OV-M-00004-01,OV-M-00004,OV-R-0002,ovino,Dorper,Mestico,3.4,0,3.9,0.53,0.43,IA_cervical,12,0,2023-12-02,1,118,0,0.426,prenhe
E-OV-000027,C-OV-M-00004-02,OV-M-00004,OV-R-0008,ovino,Dorper,Morada Nova,3.4,0,3.9,0.53,0.55,IATF,7,0,2024-07-15,1,76,0,0.443,prenhe
