matriz_id,especie,raca,idade,paridade,ecc,historico_sucesso
BO-M-00000,bovino,Brahman,7.6,5,1.9,0.35
BO-M-00001,bovino,Nelore,9.0,0,2.5,0.58
BO-M-00002,bovino,Gir,9.3,2,2.3,0.43
BO-M-00003,bovino,Angus,5.5,2,2.1,0.44
BO-M-00004,bovino,Nelore,5.7,4,2.6,0.67
BO-M-00005,bovino,Mestico,8.2,0,3.9,0.28
BO-M-00006,bovino,Brahman,3.8,2,3.2,0.76
BO-M-00007,bovino,Brahman,8.5,0,3.8,0.27
BO-M-00008,bovino,Nelore,5.4,4,3.4,0.42
BO-M-00009,bovino,Senepol,2.0,3,3.6,0.93
BO-M-00010,bovino,Nelore,1.6,2,2.7,0.78
BO-M-00011,bovino,Guzera,8.6,2,3.5,0.57
BO-M-00012,bovino,Angus,1.5,0,3.6,0.36
BO-M-00013,bovino,Gir,3.5,5,2.9,0.44
BO-M-00014,bovino,Nelore,4.0,3,3.5,0.56
BO-M-00015,bovino,Nelore,2.6,1,3.5,0.56
BO-M-00016,bovino,Senepol,3.8,2,2.9,0.53
BO-M-00017,bovino,Nelore,7.7,4,2.6,0.54
BO-M-00018,bovino,Gir,1.1,4,2.6,0.51
BO-M-00019,bovino,Angus,8.4,2,3.2,0.26
BO-M-00020,bovino,Brahman,8.7,1,3.4,0.45
BO-M-00021,bovino,Nelore,4.4,3,2.8,0.73
BO-M-00022,bovino,Mestico,2.4,3,3.2,0.28
BO-M-00023,bovino,Guzera,6.4,3,3.5,0.51
BO-M-00024,bovino,Brahman,2.1,0,3.5,0.39
BO-M-00025,bovino,Nelore,4.3,2,4.0,0.57
BO-M-00026,bovino,Senepol,9.6,3,3.8,0.47
BO-M-00027,bovino,Nelore,10.0,5,2.7,0.85
BO-M-00028,bovino,Nelore,7.9,3,4.0,0.65
BO-M-00029,bovino,Angus,3.8,2,2.9,0.29
BO-M-00030,bovino,Brahman,7.2,3,3.7,0.68
BO-M-00031,bovino,Mestico,7.3,1,3.2,0.4
BO-M-00032,bovino,Nelore,4.5,0,3.0,0.43
BO-M-00033,bovino,Nelore,6.8,4,2.3,0.61
BO-M-00034,bovino,Senepol,1.1,5,3.1,0.45
BO-M-00035,bovino,Nelore,2.9,5,2.4,0.73
BO-M-00036,bovino,Nelore,5.7,3,3.7,0.4
BO-M-00037,bovino,Senepol,2.5,0,4.0,0.43
BO-M-00038,bovino,Nelore,2.5,5,2.8,0.42
BO-M-00039,bovino,Angus,8.5,2,3.4,0.44
BO-M-00040,bovino,Nelore,9.9,1,2.8,0.77
BO-M-00041,bovino,Gir,6.0,5,2.9,0.68
BO-M-00042,bovino,Brahman,8.6,4,3.6,0.89
BO-M-00043,bovino,Nelore,9.9,4,3.2,1.0
BO-M-00044,bovino,Gir,2.3,1,4.1,0.34
BO-M-00045,bovino,Gir,5.0,5,3.0,0.56
BO-M-00046,bovino,Nelore,4.5,2,3.7,0.31
BO-M-00047,bovino,Nelore,1.7,3,3.2,0.39
BO-M-00048,bovino,Angus,7.8,4,3.6,0.42
BO-M-00049,bovino,Nelore,4.9,3,3.0,0.34
BO-M-00050,bovino,Nelore,5.2,1,3.2,0.34
BO-M-00051,bovino,Nelore,2.4,1,3.1,0.52
BO-M-00052,bovino,Brahman,2.6,2,2.8,0.31
BO-M-00053,bovino,Angus,9.2,5,3.5,0.72
BO-M-00054,bovino,Brahman,1.4,4,3.5,0.37
