matriz_id,especie,raca,idade,paridade,ecc,historico_sucesso
CA-M-00000,caprino,Anglo Nubiana,5.0,0,3.2,0.46
CA-M-00001,caprino,Anglo Nubiana,5.1,4,2.6,0.49
CA-M-00002,caprino,Boer,9.5,5,2.6,0.7
CA-M-00003,caprino,Anglo Nubiana,9.0,3,3.1,0.36
CA-M-00004,caprino,Boer,2.7,4,3.8,0.74
CA-M-00005,caprino,Pardo Alpina,3.5,1,3.1,0.61
CA-M-00006,caprino,Anglo Nubiana,3.7,5,3.1,0.29
CA-M-00007,caprino,Caninde,1.1,5,2.8,0.49
CA-M-00008,caprino,Anglo Nubiana,5.8,2,2.3,0.65
CA-M-00009,caprino,Alpina,5.3,5,3.4,0.56
CA-M-00010,caprino,Anglo Nubiana,2.1,4,3.1,0.63
CA-M-00011,caprino,Pardo Alpina,9.9,1,3.4,0.43
CA-M-00012,caprino,Anglo Nubiana,7.9,5,3.3,0.66
CA-M-00013,caprino,Boer,2.6,3,2.7,0.47
CA-M-00014,caprino,Moxoto,7.3,0,3.3,1.0
CA-M-00015,caprino,Anglo Nubiana,4.1,0,2.6,0.29
CA-M-00016,caprino,Pardo Alpina,6.7,3,3.3,1.0
CA-M-00017,caprino,Alpina,5.2,3,3.2,0.36
CA-M-00018,caprino,Boer,2.2,5,4.0,0.8
CA-M-00019,caprino,Anglo Nubiana,5.1,3,2.8,0.72
CA-M-00020,caprino,Pardo Alpina,9.7,2,2.5,0.37
CA-M-00021,caprino,Caninde,7.7,1,3.0,0.67
CA-M-00022,caprino,Anglo Nubiana,6.6,3,3.5,0.45
CA-M-00023,caprino,Pardo Alpina,8.6,1,1.8,0.6
CA-M-00024,caprino,Pardo Alpina,8.5,4,3.6,0.58
CA-M-00025,caprino,Saanen,9.0,0,3.1,0.48
CA-M-00026,caprino,Pardo Alpina,2.0,4,2.6,0.46
CA-M-00027,caprino,Anglo Nubiana,2.2,1,3.0,0.62
CA-M-00028,caprino,Boer,8.2,1,2.8,0.37
CA-M-00029,caprino,Moxoto,10.0,5,2.6,0.38
CA-M-00030,caprino,Pardo Alpina,6.1,2,2.2,0.74
CA-M-00031,caprino,Anglo Nubiana,9.7,4,3.6,0.64
CA-M-00032,caprino,Saanen,7.0,2,2.9,0.29
CA-M-00033,caprino,Anglo Nubiana,1.8,5,3.0,0.35
CA-M-00034,caprino,Anglo Nubiana,9.3,0,3.6,0.12
CA-M-00035,caprino,Anglo Nubiana,8.6,2,3.2,0.73
CA-M-00036,caprino,Anglo Nubiana,5.8,0,2.4,0.69
CA-M-00037,caprino,Boer,7.7,3,3.5,0.33
CA-M-00038,caprino,Boer,4.2,4,3.9,0.68
CA-M-00039,caprino,Pardo Alpina,6.5,2,3.5,0.95
CA-M-00040,caprino,Caninde,4.7,5,2.8,0.24
CA-M-00041,caprino,Boer,5.7,4,2.5,0.43
CA-M-00042,caprino,Anglo Nubiana,6.7,5,2.7,0.24
CA-M-00043,caprino,Moxoto,1.5,5,3.3,0.74
CA-M-00044,caprino,Anglo Nubiana,1.9,5,3.9,0.53
CA-M-00045,caprino,Saanen,1.7,2,2.8,0.47
CA-M-00046,caprino,Anglo Nubiana,6.4,5,2.9,0.6
CA-M-00047,caprino,Moxoto,4.7,3,3.7,0.44
CA-M-00048,caprino,Boer,5.5,0,3.0,0.47
CA-M-00049,caprino,Moxoto,5.5,0,4.1,0.6
CA-M-00050,caprino,Moxoto,1.4,2,3.1,0.43
CA-M-00051,caprino,Moxoto,8.2,3,3.8,0.46
CA-M-00052,caprino,Pardo Alpina,7.3,0,3.4,0.52
CA-M-00053,caprino,Alpina,7.2,3,3.6,0.57
CA-M-00054,caprino,Moxoto,1.3,4,3.1,0.67
CA-M-00055,caprino,Anglo Nubiana,6.9,4,3.1,0.67
CA-M-00056,caprino,Pardo Alpina,5.5,5,3.4,0.25
CA-M-00057,caprino,Anglo Nubiana,7.8,2,3.6,0.83
CA-M-00058,caprino,Boer,1.9,0,3.5,0.56
CA-M-00059,caprino,Boer,7.7,5,2.3,0.48
CA-M-00060,caprino,Moxoto,9.7,3,3.3,0.37
CA-M-00061,caprino,Boer,8.7,3,2.9,0.95
CA-M-00062,caprino,Saanen,9.0,3,2.9,1.0
CA-M-00063,caprino,Saanen,1.7,2,3.4,0.92
CA-M-00064,caprino,Alpina,5.8,0,4.0,0.57
CA-M-00065,caprino,Anglo Nubiana,3.2,3,3.1,0.62
CA-M-00066,caprino,Saanen,5.9,5,4.2,0.85
CA-M-00067,caprino,Saanen,7.4,0,2.7,0.5
CA-M-00068,caprino,Caninde,7.7,2,3.8,0.66
CA-M-00069,caprino,Moxoto,9.9,5,3.4,0.6
CA-M-00070,caprino,Anglo Nubiana,9.6,2,3.3,0.93
CA-M-00071,caprino,Anglo Nubiana,3.2,0,3.9,0.84
CA-M-00072,caprino,Alpina,9.2,5,2.9,0.52
CA-M-00073,caprino,Boer,9.0,0,3.8,0.86
CA-M-00074,caprino,Alpina,7.5,1,3.1,0.55
CA-M-00075,caprino,Pardo Alpina,3.3,2,2.9,0.44
CA-M-00076,caprino,Anglo Nubiana,2.7,2,2.5,0.49
CA-M-00077,caprino,Caninde,4.9,2,4.0,0.58
CA-M-00078,caprino,Anglo Nubiana,1.4,4,3.8,0.39
CA-M-00079,caprino,Moxoto,3.6,3,3.0,0.45
CA-M-00080,caprino,Boer,1.7,2,3.5,0.26
CA-M-00081,caprino,Caninde,5.7,4,3.3,0.39
CA-M-00082,caprino,Anglo Nubiana,6.5,3,3.0,0.6
CA-M-00083,caprino,Saanen,2.0,3,3.7,0.76
CA-M-00084,caprino,Anglo Nubiana,8.9,2,2.9,0.73
CA-M-00085,caprino,Alpina,1.9,3,2.1,0.64
CA-M-00086,caprino,Moxoto,4.6,1,3.3,0.24
CA-M-00087,caprino,Pardo Alpina,5.5,2,3.2,0.38
CA-M-00088,caprino,Alpina,6.2,0,2.9,0.51
CA-M-00089,caprino,Anglo Nubiana,3.9,0,2.8,0.74
CA-M-00090,caprino,Moxoto,7.4,5,2.4,0.44
CA-M-00091,caprino,Boer,4.1,4,3.0,0.31
CA-M-00092,caprino,Saanen,3.3,1,2.8,0.84
CA-M-00093,caprino,Anglo Nubiana,5.1,2,3.7,0.4
CA-M-00094,caprino,Pardo Alpina,2.0,5,3.5,0.32
CA-M-00095,caprino,Boer,9.7,3,3.0,0.6
CA-M-00096,caprino,Boer,6.0,0,3.5,0.54
CA-M-00097,caprino,Anglo Nubiana,2.3,3,3.1,0.45
CA-M-00098,caprino,Saanen,8.2,5,3.1,0.55
CA-M-00099,caprino,Anglo Nubiana,7.5,1,3.2,0.36
CA-M-00100,caprino,Caninde,4.9,5,4.1,0.45
CA-M-00101,caprino,Pardo Alpina,9.9,4,3.5,0.54
CA-M-00102,caprino,Moxoto,5.5,0,3.1,0.14
