matriz_id,especie,raca,idade,paridade,ecc,historico_sucesso
OV-M-00000,ovino,Somalis,5.3,2,2.7,0.6
OV-M-00001,ovino,Dorper,3.3,5,3.3,0.54
OV-M-00002,ovino,Santa Ines,4.5,5,2.5,0.79
OV-M-00003,ovino,Santa Ines,5.8,1,3.0,0.48
OV-M-00004,ovino,Somalis,1.1,5,2.8,0.75
OV-M-00005,ovino,Santa Ines,3.6,0,3.0,0.22
OV-M-00006,ovino,Morada Nova,9.9,3,3.2,0.46
OV-M-00007,ovino,Somalis,1.5,2,2.7,0.76
OV-M-00008,ovino,Santa Ines,3.9,1,4.0,0.86
OV-M-00009,ovino,Dorper,3.9,5,3.4,0.4
OV-M-00010,ovino,Morada Nova,4.4,3,4.1,0.37
OV-M-00011,ovino,Morada Nova,7.2,0,3.1,0.66
OV-M-00012,ovino,Santa Ines,3.2,0,2.9,0.43
OV-M-00013,ovino,Santa Ines,5.1,0,4.1,0.5
OV-M-00014,ovino,Santa Ines,6.8,1,2.9,0.73
OV-M-00015,ovino,White Dorper,3.9,0,3.1,0.44
OV-M-00016,ovino,White Dorper,9.5,1,3.6,0.16
OV-M-00017,ovino,Dorper,9.8,4,2.6,0.29
OV-M-00018,ovino,Santa Ines,2.1,5,3.6,0.55
OV-M-00019,ovino,Morada Nova,4.1,4,3.5,0.18
OV-M-00020,ovino,Dorper,2.9,2,3.8,0.49
OV-M-00021,ovino,Somalis,2.7,4,3.6,0.27
OV-M-00022,ovino,Santa Ines,5.4,5,3.8,0.88
OV-M-00023,ovino,White Dorper,6.1,0,3.1,0.98
OV-M-00024,ovino,Santa Ines,4.8,5,2.8,0.34
OV-M-00025,ovino,Santa Ines,3.5,4,4.3,0.6
OV-M-00026,ovino,White Dorper,3.5,2,2.4,0.36
OV-M-00027,ovino,Santa Ines,9.9,2,2.5,0.49
OV-M-00028,ovino,Santa Ines,9.3,2,3.5,0.91
OV-M-00029,ovino,Morada Nova,1.7,0,4.0,0.46
OV-M-00030,ovino,Mestico,6.9,1,3.3,0.49
OV-M-00031,ovino,Santa Ines,5.1,1,3.7,0.36
OV-M-00032,ovino,Dorper,7.2,0,2.2,0.78
OV-M-00033,ovino,Santa Ines,6.4,3,3.0,0.0
