reprodutor_id,especie,raca,idade,taxa_sucesso_historica
BO-R-0000,bovino,Senepol,4.6,0.48
BO-R-0001,bovino,Nelore,3.9,0.66
BO-R-0002,bovino,Brahman,5.1,0.3
BO-R-0003,bovino,Senepol,4.6,0.66
BO-R-0004,bovino,Brahman,5.6,0.56
BO-R-0005,bovino,Gir,7.4,0.72
BO-R-0006,bovino,Angus,8.0,0.76
BO-R-0007,bovino,Angus,2.5,0.93
BO-R-0008,bovino,Brahman,4.3,0.38
BO-R-0009,bovino,Gir,3.1,0.52
BO-R-0010,bovino,Gir,4.1,0.31
BO-R-0011,bovino,Nelore,3.7,0.57
BO-R-0012,bovino,Senepol,3.0,0.33
BO-R-0013,bovino,Nelore,6.6,0.46
BO-R-0014,bovino,Gir,5.0,0.7
BO-R-0015,bovino,Angus,7.5,0.51
BO-R-0016,bovino,Nelore,2.2,0.58
BO-R-0017,bovino,Nelore,2.4,0.35
BO-R-0018,bovino,Nelore,4.4,0.82
BO-R-0019,bovino,Brahman,2.5,0.55
BO-R-0020,bovino,Nelore,3.6,0.55
BO-R-0021,bovino,Nelore,7.9,0.68
BO-R-0022,bovino,Guzera,3.3,0.4
BO-R-0023,bovino,Brahman,3.2,0.35
BO-R-0024,bovino,Nelore,5.4,0.68
BO-R-0025,bovino,Nelore,5.0,0.62
BO-R-0026,bovino,Mestico,5.5,0.64
BO-R-0027,bovino,Brahman,4.3,0.77
BO-R-0028,bovino,Angus,7.0,0.91
BO-R-0029,bovino,Nelore,2.8,0.78
BO-R-0030,bovino,Nelore,4.6,0.8
BO-R-0031,bovino,Nelore,6.1,0.88
BO-R-0032,bovino,Brahman,7.2,0.75
BO-R-0033,bovino,Nelore,4.2,0.79
BO-R-0034,bovino,Nelore,5.4,0.63
BO-R-0035,bovino,Brahman,2.4,0.74
BO-R-0036,bovino,Guzera,3.0,0.72
BO-R-0037,bovino,Brahman,2.4,0.45
BO-R-0038,bovino,Senepol,6.4,0.52
BO-R-0039,bovino,Senepol,3.7,0.53
