reprodutor_id,especie,raca,idade,taxa_sucesso_historica
OV-R-0000,ovino,Santa Ines,2.1,0.7
OV-R-0001,ovino,Santa Ines,7.4,0.66
OV-R-0002,ovino,Mestico,4.2,0.43
OV-R-0003,ovino,Santa Ines,4.1,0.68
OV-R-0004,ovino,Santa Ines,4.4,0.54
OV-R-0005,ovino,Santa Ines,6.1,0.69
OV-R-0006,ovino,Mestico,4.3,0.52
OV-R-0007,ovino,Santa Ines,4.2,0.45
OV-R-0008,ovino,Morada Nova,2.4,0.55
OV-R-0009,ovino,Santa Ines,4.5,0.58
OV-R-0010,ovino,Santa Ines,2.9,0.88
OV-R-0011,ovino,Somalis,7.1,0.31
OV-R-0012,ovino,Morada Nova,4.0,0.59
OV-R-0013,ovino,Somalis,7.8,0.79
OV-R-0014,ovino,Santa Ines,6.1,0.55
OV-R-0015,ovino,Mestico,6.5,0.76
OV-R-0016,ovino,Morada Nova,7.7,0.83
OV-R-0017,ovino,Mestico,3.4,0.6
OV-R-0018,ovino,Santa Ines,5.4,0.79
OV-R-0019,ovino,Santa Ines,2.2,0.66
OV-R-0020,ovino,Santa Ines,2.6,0.6
OV-R-0021,ovino,Dorper,4.2,0.53
OV-R-0022,ovino,Somalis,6.1,0.75
OV-R-0023,ovino,Santa Ines,7.0,0.74
OV-R-0024,ovino,Santa Ines,3.5,0.75
OV-R-0025,ovino,Santa Ines,6.5,0.71
OV-R-0026,ovino,Santa Ines,3.3,0.68
OV-R-0027,ovino,Dorper,2.0,0.84
OV-R-0028,ovino,Santa Ines,2.3,0.47
OV-R-0029,ovino,Santa Ines,5.5,0.48
OV-R-0030,ovino,Santa Ines,5.0,0.63
OV-R-0031,ovino,Santa Ines,3.6,0.7
OV-R-0032,ovino,Mestico,2.0,0.64
OV-R-0033,ovino,Santa Ines,5.4,0.56
OV-R-0034,ovino,Mestico,6.9,0.62
OV-R-0035,ovino,Somalis,2.4,0.77
OV-R-0036,ovino,Morada Nova,6.4,0.61
OV-R-0037,ovino,Santa Ines,5.8,0.54
OV-R-0038,ovino,Somalis,4.9,0.56
OV-R-0039,ovino,Somalis,2.3,0.44
